unit_id,unit_state,trusted_judgments,last_judgment,predicted_category,confidence,tweet
191082793,golden,31,8/12/2012 14:07,"People missing, found or seen",0.892,   Update - Has Dementia! pls find him #Missing #Joplin Charles Writer  patient at #Greenbrier ...
191082813,golden,33,8/12/2012 14:11,"People missing, found or seen",0.7137,  #Joplin #Missing Margaret Jorgensen y/o at #MercyVilliage suffers from Multiple Sclerosis contact  ...
191082814,finalized,3,8/12/2012 13:19,"People missing, found or seen",1,Please help find Will Norton!! Please email all leads to findwillnorton or call    #Joplin
191082836,finalized,3,8/12/2012 13:28,"People missing, found or seen",0.3428,"#tornado. Oh dear, just found out Jim Canatore is in town- that can't be good #HAARP"
191082849,golden,3,8/12/2012 13:20,"People missing, found or seen",0.7015,"  ""You see, there are heroes all around us,"" President Barack Obama, at Joplin Tornado Memorial."
191082880,finalized,3,8/12/2012 13:24,"People missing, found or seen",0.6934,Please pray for a family in Joplin who is looking for their  month old son. Went missing during tornado 
191082973,golden,3,8/12/2012 13:29,"People missing, found or seen",0.6882,"""""  #Joplin #tornado MISSING PERSON: Hannah Hull,  years old, Brown wavy hair.information please call Robin at --"
191082974,golden,2,8/12/2012 13:05,"People missing, found or seen",1,"  In Joplin, Missouri, today to visit with those who lost so much in last week's devastating tornado."
191082985,finalized,3,8/12/2012 14:12,"People missing, found or seen",1,  LOOKATGOD!   Ninety of the people unaccounted for after the Joplin tornado have been located and are alive  ...
191083039,finalized,3,8/12/2012 13:09,"People missing, found or seen",0.4123,"Residents need repairs after #Tornado, can't reach landlord: "
191083052,finalized,3,8/12/2012 13:29,"People missing, found or seen",0.6229,"  President #Obama will speak at a memorial for those lost in the #tornado in #Joplin, MO. Live: "
191083066,finalized,3,8/12/2012 13:36,"People missing, found or seen",0.6882,NEW ON CNN: Obama visits tornado-ravaged Joplin; renamed hospital reopens:  - President Barack Obama visite... 
191083074,finalized,3,8/12/2012 13:26,"People missing, found or seen",0.3501,"We often see the glimpse of what makes life worth living in the first place, Obama tells #Joplin."
191083077,finalized,3,8/12/2012 13:15,"People missing, found or seen",1,"   #Joplin #Missing Dorothy Clark,  "
191083079,finalized,3,8/12/2012 13:13,"People missing, found or seen",1,  Ninety of the people unaccounted for after the Joplin tornado have been located and are alive ;&lt; grand dad?
191083113,finalized,3,8/12/2012 13:14,"People missing, found or seen",0.6853,"  In Joplin, Missouri, today to visit with those who lost so much in last week's devastating tornado."
191083120,golden,2,8/12/2012 13:16,"People missing, found or seen",1,"Obama tours tornado-hit Joplin, promises sustained federal help to recover "
191083128,finalized,4,8/12/2012 13:38,"People missing, found or seen",1,"  If you know the whereabouts of Emma Marie Hayes, contact -- #Joplin #AC"
191083141,finalized,3,8/12/2012 13:25,"People missing, found or seen",0.6636,"U.S. tornado death toll mounts, many still missing - Reuters "
191083156,finalized,3,8/12/2012 13:36,"People missing, found or seen",0.3639,  No unidentified #Joplin children or teens  For updates on Joplin go to: www.facebook.com/joplinmo. P ...
191083184,finalized,3,8/12/2012 13:35,"People missing, found or seen",0.3717,  The  tour of the #JoplinTornado continues as he visits St. John's Regional Medical Center. #NASCAR ht ...
191083203,finalized,3,8/12/2012 13:22,"People missing, found or seen",1,  #Hotline established  loved ones seeking #info on missing persons in #Joplin Missouri: tel #. -. #PrayF ...
191083217,finalized,3,8/12/2012 13:23,"People missing, found or seen",0.6653,Ã¢â‚¬Å“ #BREAKING #Joplin President Obama to visit tornado region Sunday 
191083254,finalized,3,8/12/2012 13:37,"People missing, found or seen",0.6201,    Two children found alive in Joplin!!!  A -yr-old and -yr-old found in their house!!! #Joplin
191083334,finalized,3,8/12/2012 13:21,"People missing, found or seen",0.6737,"  Obama Consoles Tornado-Ravaged Joplin: JOPLIN, Mo. -- Exactly a week after Joplin was nearly leveled by the dead... ..."
191083347,finalized,3,8/12/2012 13:25,"People missing, found or seen",1,Missouri town says  missing after tornado: Officials Thursday said  people were still missing four days af... 
